t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB)
0,3_0_24,0,1,9.91193e-13,-1.01049,210.961,-210.961
0,3_0_24,0,2,3.40229e-12,2.39119,205.605,-205.605
0,3_0_24,0,3,3.32542e-13,1.79326,215.704,-215.704
0,3_0_24,1,1,1.64573e-12,-1.07744,208.759,-208.759
0,3_0_24,1,2,3.02048e-12,2.32638,206.122,-206.122
0,3_0_24,1,3,1.15663e-13,1.70732,220.291,-220.291
0,3_0_24,2,1,3.62931e-12,-1.14438,205.325,-205.325
0,3_0_24,2,2,1.38214e-12,2.26158,209.517,-209.517
0,3_0_24,2,3,4.00488e-13,1.62138,214.897,-214.897
0,3_0_24,3,1,6.29054e-13,-1.21133,212.936,-212.936
0,3_0_24,3,2,4.5846e-12,2.19677,204.31,-204.31
0,3_0_24,3,3,9.24698e-13,1.53544,211.263,-211.263
0,3_0_24,4,1,4.86052e-13,-1.02937,214.056,-214.056
0,3_0_24,4,2,9.85423e-13,2.3813,210.987,-210.987
0,3_0_24,4,3,2.92266e-13,1.77197,216.265,-216.265
0,3_0_24,5,1,2.53306e-13,-1.09631,216.886,-216.886
0,3_0_24,5,2,1.26718e-12,2.3165,209.894,-209.894
0,3_0_24,5,3,1.51247e-13,1.68603,219.126,-219.126
0,3_0_24,6,1,1.35968e-12,-1.16326,209.588,-209.588
0,3_0_24,6,2,4.58525e-15,2.25169,234.309,-234.309
0,3_0_24,6,3,1.14811e-13,1.60009,220.323,-220.323
0,3_0_24,7,1,1.2408e-13,-1.2302,219.986,-219.986
0,3_0_24,7,2,2.43751e-13,2.18688,217.053,-217.053
0,3_0_24,7,3,1.03832e-13,1.51415,220.759,-220.759
0,3_0_24,8,1,1.36317e-12,-1.04824,209.577,-209.577
0,3_0_24,8,2,7.66515e-13,2.37142,212.078,-212.078
0,3_0_24,8,3,8.43347e-13,1.75068,211.663,-211.663
0,3_0_24,9,1,1.65158e-12,-1.11519,208.744,-208.744
0,3_0_24,9,2,8.29387e-13,2.30661,211.735,-211.735
0,3_0_24,9,3,3.97098e-13,1.66474,214.934,-214.934
0,3_0_24,10,1,1.61905e-12,-1.18213,208.83,-208.83
0,3_0_24,10,2,2.51785e-12,2.2418,206.912,-206.912
0,3_0_24,10,3,1.4503e-13,1.5788,219.308,-219.308
0,3_0_24,11,1,5.06312e-12,-1.24908,203.879,-203.879
0,3_0_24,11,2,5.53017e-12,2.17699,203.495,-203.495
0,3_0_24,11,3,5.42633e-13,1.49286,213.578,-213.578
0,3_0_24,12,1,2.80656e-13,-1.06712,216.441,-216.441
0,3_0_24,12,2,2.39185e-13,2.36153,217.135,-217.135
0,3_0_24,12,3,4.44321e-13,1.7294,214.446,-214.446
