t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB),h_r,h_i
0,3_0_24,0,1,9.32107e-13,0.788538,211.228,-211.228,2.96638e-07,-2.98507e-07
0,3_0_24,0,2,3.52668e-12,-1.73637,205.449,-205.449,-1.34914e-07,8.07383e-07
0,3_0_24,0,3,3.12228e-13,0.063905,215.978,-215.978,2.43067e-07,-1.55543e-08
0,3_0_24,1,1,1.08252e-13,0.768675,220.578,-220.578,1.03091e-07,-9.96999e-08
0,3_0_24,1,2,3.19095e-12,-1.7473,205.884,-205.884,-1.36719e-07,7.66543e-07
0,3_0_24,1,3,1.01657e-12,0.0418521,210.851,-210.851,4.39102e-07,-1.8388e-08
0,3_0_24,2,1,1.59942e-13,0.748813,218.883,-218.883,1.27692e-07,-1.18675e-07
0,3_0_24,2,2,1.24075e-13,-1.75823,219.986,-219.986,-2.86101e-08,1.5085e-07
0,3_0_24,2,3,2.50548e-13,0.0197991,216.934,-216.934,2.18141e-07,-4.31956e-09
0,3_0_24,3,1,3.40873e-13,0.72895,215.597,-215.597,1.89818e-07,-1.69513e-07
0,3_0_24,3,2,5.55452e-13,-1.76916,213.476,-213.476,-6.40194e-08,3.18492e-07
0,3_0_24,3,3,4.58206e-14,-0.00225381,224.312,-224.312,9.33053e-08,2.10292e-10
0,3_0_24,4,1,3.39362e-13,0.855377,215.616,-215.616,1.66559e-07,-1.91669e-07
0,3_0_24,4,2,2.92192e-13,-1.67162,216.266,-216.266,-2.3715e-08,2.34423e-07
0,3_0_24,4,3,5.70148e-13,0.149726,213.363,-213.363,3.2545e-07,-4.90959e-08
0,3_0_24,5,1,1.49803e-12,0.835514,209.168,-209.168,3.57872e-07,-3.95669e-07
0,3_0_24,5,2,3.03131e-12,-1.68255,206.106,-206.106,-8.46334e-08,7.54179e-07
0,3_0_24,5,3,1.07358e-12,0.127673,210.614,-210.614,4.47966e-07,-5.75062e-08
0,3_0_24,6,1,1.43351e-12,0.815652,209.359,-209.359,3.57699e-07,-3.80025e-07
0,3_0_24,6,2,1.66878e-12,-1.69348,208.699,-208.699,-6.89083e-08,5.58856e-07
0,3_0_24,6,3,1.2885e-12,0.10562,209.822,-209.822,4.9203e-07,-5.21626e-08
0,3_0_24,7,1,1.66551e-13,-2.3458,218.707,-218.707,-1.24473e-07,1.27087e-07
0,3_0_24,7,2,3.18932e-11,1.43718,195.886,-195.886,3.27934e-07,-2.43971e-06
0,3_0_24,7,3,1.31576e-13,0.0835676,219.731,-219.731,1.5756e-07,-1.31977e-08
0,3_0_24,8,1,2.2448e-14,-2.21938,227.411,-227.411,-3.94496e-08,5.20466e-08
0,3_0_24,8,2,3.85676e-15,1.53473,235.061,-235.061,9.76218e-10,-2.70524e-08
0,3_0_24,8,3,1.20348e-13,0.235547,220.118,-220.118,1.4704e-07,-3.529e-08
0,3_0_24,9,1,3.0128e-14,-2.23924,226.133,-226.133,-4.6891e-08,5.93765e-08
0,3_0_24,9,2,1.26425e-13,1.52379,219.904,-219.904,7.28198e-09,-1.54815e-07
0,3_0_24,9,3,7.94476e-15,0.213494,231.922,-231.922,3.79703e-08,-8.23189e-09
0,3_0_24,10,1,2.57897e-14,0.88249,226.808,-226.808,4.44663e-08,-5.40628e-08
0,3_0_24,10,2,2.77942e-14,-1.62873,226.483,-226.483,-4.20766e-09,7.25478e-08
0,3_0_24,10,3,4.06292e-15,0.191442,234.834,-234.834,2.72765e-08,-5.28659e-09
0,3_0_24,11,1,1.95994e-14,0.862628,228,-228,3.96924e-08,-4.63508e-08
0,3_0_24,11,2,1.67861e-13,-1.63966,218.673,-218.673,-1.22887e-08,1.78164e-07
0,3_0_24,11,3,1.68489e-14,0.169389,228.657,-228.657,5.57702e-08,-9.53824e-09
0,3_0_24,12,1,3.48016e-13,0.989054,215.507,-215.507,1.41296e-07,-2.14846e-07
0,3_0_24,12,2,8.32317e-14,-1.54212,221.72,-221.72,3.606e-09,1.25702e-07
0,3_0_24,12,3,4.10844e-15,0.321368,234.786,-234.786,2.65089e-08,-8.82504e-09
0,3_0_24,13,1,1.33795e-12,0.969192,209.658,-209.658,2.85356e-07,-4.1567e-07
0,3_0_24,13,2,9.01261e-13,-1.55305,211.374,-211.374,7.34376e-09,4.13746e-07
0,3_0_24,13,3,7.04495e-14,0.299316,222.444,-222.444,1.10551e-07,-3.41146e-08
0,3_0_24,14,1,1.15691e-12,0.949329,210.29,-210.29,2.72973e-07,-3.8118e-07
0,3_0_24,14,2,1.88495e-12,-1.56398,208.17,-208.17,4.07908e-09,5.98434e-07
0,3_0_24,14,3,3.76643e-13,0.277263,215.163,-215.163,2.57294e-07,-7.32241e-08
0,3_0_24,15,1,6.10193e-14,0.929466,223.068,-223.068,6.44171e-08,-8.62792e-08
0,3_0_24,15,2,6.39366e-14,-1.57491,222.865,-222.865,-4.53577e-10,1.10217e-07
0,3_0_24,15,3,3.30705e-13,0.25521,215.728,-215.728,2.42548e-07,-6.32805e-08
0,3_0_24,16,1,1.15724e-12,1.05589,210.289,-210.289,2.30915e-07,-4.08111e-07
0,3_0_24,16,2,1.33888e-12,-1.47737,209.655,-209.655,4.70541e-08,5.02169e-07
0,3_0_24,16,3,1.36136e-12,0.40719,209.583,-209.583,4.67002e-07,-2.01415e-07
0,3_0_24,17,1,7.78868e-12,1.03603,202.008,-202.008,6.19972e-07,-1.04665e-06
0,3_0_24,17,2,2.07044e-12,-1.4883,207.762,-207.762,5.16839e-08,6.25069e-07
0,3_0_24,17,3,2.85423e-12,0.385137,206.368,-206.368,6.82469e-07,-2.7666e-07
0,3_0_24,18,1,5.72982e-11,1.01617,193.341,-193.341,1.7376e-06,-2.80489e-06
0,3_0_24,18,2,3.4566e-11,-1.49923,195.536,-195.536,1.83247e-07,2.55616e-06
0,3_0_24,18,3,2.56076e-12,0.363084,206.839,-206.839,6.52053e-07,-2.47733e-07
0,2_0_1,0,1,3.00635e-14,-2.88423,226.142,-226.142,-7.3089e-08,1.92367e-08
0,2_0_1,0,2,1.01516e-12,3.11838,210.857,-210.857,-4.39063e-07,-1.01932e-08
0,2_0_1,0,3,9.04124e-12,2.74739,201.36,-201.36,-1.21014e-06,-5.03394e-07
0,2_0_1,1,1,9.11362e-13,-2.90142,211.326,-211.326,-4.04179e-07,9.89847e-08
0,2_0_1,1,2,4.97148e-13,3.11075,213.958,-213.958,-3.07194e-07,-9.47859e-09
0,2_0_1,1,3,6.22757e-13,-0.426491,212.98,-212.98,3.13169e-07,1.42298e-07
0,2_0_1,2,1,4.45312e-12,-2.92017,204.436,-204.436,-8.97376e-07,2.02016e-07
0,2_0_1,2,2,8.15133e-12,3.10311,201.81,-201.81,-1.24357e-06,-4.78755e-08
0,2_0_1,2,3,1.33324e-12,2.6904,209.674,-209.674,-4.52938e-07,-2.19462e-07
0,2_0_1,3,1,5.9805e-12,-2.93882,203.155,-203.155,-1.04413e-06,2.14669e-07
0,2_0_1,3,2,5.81216e-12,3.09548,203.279,-203.279,-1.04974e-06,-4.84416e-08
0,2_0_1,3,3,1.69021e-12,2.66004,208.643,-208.643,-5.02245e-07,-2.62468e-07
0,2_0_1,4,1,2.59491e-10,-2.92171,186.782,-186.782,-6.85257e-06,1.53153e-06
0,2_0_1,4,2,5.09772e-08,3.07589,163.849,-163.849,-9.82035e-05,-6.46141e-06
0,2_0_1,4,3,2.10322e-12,2.7592,207.694,-207.694,-5.86493e-07,-2.35879e-07
0,2_0_1,5,1,1.24305e-12,0.200375,209.978,-209.978,4.7626e-07,-9.67286e-08
0,2_0_1,5,2,4.14067e-14,-0.0733353,224.752,-224.752,8.84593e-08,6.49884e-09
0,2_0_1,5,3,7.18801e-12,2.72884,202.357,-202.357,-1.0705e-06,-4.68777e-07
0,2_0_1,6,1,5.77448e-14,-2.9573,223.308,-223.308,-1.02971e-07,1.91949e-08
0,2_0_1,6,2,2.06584e-13,3.06062,217.772,-217.772,-1.97469e-07,-1.6024e-08
0,2_0_1,6,3,6.26795e-07,-0.440634,152.952,-152.952,0.000312133,0.000147188
0,2_0_1,7,1,4.79197e-13,-2.97597,214.118,-214.118,-2.97612e-07,4.97465e-08
0,2_0_1,7,2,1.26304e-14,3.05299,229.909,-229.909,-4.87953e-08,-4.33476e-09
0,2_0_1,7,3,2.67953e-12,-0.470793,206.642,-206.642,6.35896e-07,3.23648e-07
0,2_0_1,8,1,3.01386e-12,-2.95847,206.132,-206.132,-7.44073e-07,1.37798e-07
0,2_0_1,8,2,3.85747e-12,3.0334,205.06,-205.06,-8.51102e-07,-9.24425e-08
0,2_0_1,8,3,1.23142e-13,-0.37292,220.019,-220.019,1.42447e-07,5.57291e-08
0,2_0_1,9,1,2.98412e-12,-2.97708,206.175,-206.175,-7.42817e-07,1.23316e-07
0,2_0_1,9,2,4.07374e-12,3.02577,204.823,-204.823,-8.73884e-07,-1.01672e-07
