t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB)
0,3_0_24,0,1,9.91192e-13,-1.25424,210.961,-210.961
0,3_0_24,0,2,3.40229e-12,2.15942,205.605,-205.605
0,3_0_24,0,3,3.32542e-13,1.48182,215.704,-215.704
0,3_0_24,1,1,1.89534e-14,-1.27311,228.146,-228.146
0,3_0_24,1,2,3.00624e-12,2.14953,206.143,-206.143
0,3_0_24,1,3,9.65357e-13,1.46054,211.076,-211.076
0,3_0_24,2,1,1.86441e-13,-1.29199,218.217,-218.217
0,3_0_24,2,2,1.20618e-13,2.13965,220.109,-220.109
0,3_0_24,2,3,2.71578e-13,1.43925,216.584,-216.584
0,3_0_24,3,1,3.96793e-13,-1.31086,214.937,-214.937
0,3_0_24,3,2,5.08931e-13,2.12976,213.856,-213.856
0,3_0_24,3,3,3.74401e-14,1.41797,225.189,-225.189
0,3_0_24,4,1,3.07735e-13,-1.18729,216.041,-216.041
0,3_0_24,4,2,3.07474e-13,2.22423,216.045,-216.045
0,3_0_24,4,3,5.68801e-13,1.56776,213.373,-213.373
0,3_0_24,5,1,1.30788e-12,-1.20617,209.757,-209.757
0,3_0_24,5,2,2.81262e-12,2.21434,206.432,-206.432
0,3_0_24,5,3,1.10092e-12,1.54648,210.505,-210.505
0,3_0_24,6,1,1.72725e-12,-1.22504,208.549,-208.549
0,3_0_24,6,2,1.31955e-12,2.20445,209.719,-209.719
0,3_0_24,6,3,1.368e-12,1.52519,209.562,-209.562
0,3_0_24,7,1,8.33503e-14,1.89767,221.714,-221.714
0,3_0_24,7,2,9.4631e-16,-0.947027,241.162,-241.162
0,3_0_24,7,3,7.5808e-14,1.50391,222.126,-222.126
0,3_0_24,8,1,3.24992e-14,2.02124,225.804,-225.804
0,3_0_24,8,2,4.04317e-14,-0.852556,224.856,-224.856
0,3_0_24,8,3,1.22331e-13,1.6537,220.047,-220.047
0,3_0_24,9,1,2.57541e-14,2.00237,226.814,-226.814
0,3_0_24,9,2,1.7653e-13,-0.862444,218.455,-218.455
0,3_0_24,9,3,8.64632e-15,1.63242,231.554,-231.554
0,3_0_24,10,1,3.68783e-14,-1.1581,225.255,-225.255
0,3_0_24,10,2,1.62389e-14,2.26926,228.817,-228.817
0,3_0_24,10,3,5.31672e-15,1.61113,233.666,-233.666
0,3_0_24,11,1,9.51574e-15,-1.17698,231.138,-231.138
0,3_0_24,11,2,1.87184e-13,2.25937,218.2,-218.2
0,3_0_24,11,3,1.94184e-14,1.58985,228.041,-228.041
0,3_0_24,12,1,3.00415e-13,-1.0534,216.146,-216.146
0,3_0_24,12,2,9.43873e-14,2.35384,221.174,-221.174
0,3_0_24,12,3,4.29098e-15,1.73964,234.597,-234.597
0,3_0_24,13,1,1.32615e-12,-1.07228,209.697,-209.697
0,3_0_24,13,2,8.8366e-13,2.34396,211.46,-211.46
0,3_0_24,13,3,7.00012e-14,1.71836,222.472,-222.472
0,3_0_24,14,1,1.08971e-12,-1.09115,210.55,-210.55
0,3_0_24,14,2,1.83602e-12,2.33407,208.284,-208.284
0,3_0_24,14,3,3.65314e-13,1.69707,215.296,-215.296
0,3_0_24,15,1,1.46117e-14,-1.11003,229.276,-229.276
0,3_0_24,15,2,1.66198e-13,2.32418,218.717,-218.717
0,3_0_24,15,3,3.81891e-13,1.67579,215.103,-215.103
0,3_0_24,16,1,9.61295e-13,-0.986459,211.094,-211.094
0,3_0_24,16,2,1.96639e-12,2.41865,207.986,-207.986
0,3_0_24,16,3,1.26227e-12,1.82558,209.911,-209.911
0,3_0_24,17,1,6.94399e-12,-1.00533,202.507,-202.507
0,3_0_24,17,2,1.32813e-12,2.40876,209.69,-209.69
0,3_0_24,17,3,3.22161e-12,1.8043,205.842,-205.842
0,3_0_24,18,1,4.91181e-11,-1.02421,194.01,-194.01
