ue_idx,longitude,latitude,height
0,120.31393067704433,24.577040242982832,6371002.719614046
1,120.3664215825131,24.953087099489213,6371002.268061447
2,121.1995254019031,22.974296967395553,6371001.139340563
3,120.31549404560708,25.049208782472384,6371001.596455636
4,119.75949214743466,21.54552847004989,6371001.12714745
5,121.25172131942976,24.089914480310444,6371001.213618114
6,121.9907167394459,22.357170653251725,6371002.983312551
7,121.08150973818371,24.25876860268634,6371002.5729418015
8,121.47747399363192,23.61270441435284,6371001.6378069585
9,120.18557324731607,24.419870296849986,6371002.689852072
10,119.9793286468163,23.524430202180376,6371001.673016286
11,121.19845215483333,24.51484598537488,6371001.956199501
